date,code,ipodate,code_nam,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2000-06-02,sh.600000,1999-11-10,浦发银行,2.2788655000,2.3244428100,2.2691682000,2.2982601000,2.2730471200,3047212,72152781.0000,2,0.761803,1,1.109216,0
2000-06-05,sh.600000,1999-11-10,浦发银行,2.3079574000,2.3244428100,2.2875930700,2.2934114500,2.2982601000,3602826,85402416.0000,2,0.900706,1,-0.210975,0
2000-06-06,sh.600000,1999-11-10,浦发银行,2.2943811800,2.3254125400,2.2934114500,2.3118363200,2.2934114500,2626991,62564701.0000,2,0.656748,1,0.803385,0
2000-06-07,sh.600000,1999-11-10,浦发银行,2.3176547000,2.3448071400,2.3001995600,2.3195941600,2.3118363200,3507674,83916776.0000,2,0.876919,1,0.335570,0
2000-06-08,sh.600000,1999-11-10,浦发银行,2.3263822700,2.3603228200,2.3089271300,2.3186244300,2.3195941600,4210126,101488513.0000,2,1.052531,1,-0.041807,0
2000-06-09,sh.600000,1999-11-10,浦发银行,2.3273520000,2.3515952500,2.2798352300,2.2837141500,2.3186244300,2450894,58230845.0000,2,0.612723,1,-1.505649,0
2000-06-12,sh.600000,1999-11-10,浦发银行,2.2788655000,2.3001995600,2.2681984700,2.2905022600,2.2837141500,1957284,45933934.0000,2,0.489321,1,0.297247,0
2000-06-13,sh.600000,1999-11-10,浦发银行,2.2963206400,2.3273520000,2.2943811800,2.3118363200,2.2905022600,1787546,42589850.0000,2,0.446886,1,0.931411,0
2000-06-14,sh.600000,1999-11-10,浦发银行,2.3273520000,2.3942633700,2.3225033500,2.3448071400,2.3118363200,9515624,232075370.0000,2,2.378906,1,1.426175,0
2000-06-15,sh.600000,1999-11-10,浦发银行,2.3564439000,2.3806871500,2.3418979500,2.3622622800,2.3448071400,3013908,73399141.0000,2,0.753477,1,0.744418,0
2000-06-16,sh.600000,1999-11-10,浦发银行,2.3709898500,2.3758385000,2.3157152400,2.3244428100,2.3622622800,2561170,61776775.0000,2,0.640293,1,-1.600990,0
2000-06-19,sh.600000,1999-11-10,浦发银行,2.3273520000,2.3418979500,2.2963206400,2.3079574000,2.3244428100,1830811,43529667.0000,2,0.457703,1,-0.709220,0
2000-06-20,sh.600000,1999-11-10,浦发银行,2.3079574000,2.3108665900,2.2895325300,2.2934114500,2.3079574000,1388343,32869450.0000,2,0.347086,1,-0.630251,0
2000-06-21,sh.600000,1999-11-10,浦发银行,2.2885628000,2.3031087500,2.2788655000,2.2982601000,2.2934114500,1567963,36978461.0000,2,0.391991,1,0.211421,0
2000-06-22,sh.600000,1999-11-10,浦发银行,2.3031087500,2.3079574000,2.2798352300,2.2827444200,2.2982601000,1781752,42017241.0000,2,0.445438,1,-0.675105,0
2000-06-23,sh.600000,1999-11-10,浦发银行,2.2827444200,2.2953509100,2.2691682000,2.2846838800,2.2827444200,2454181,57647819.0000,2,0.613545,1,0.084956,0
2000-06-26,sh.600000,1999-11-10,浦发银行,2.2856536100,2.2972903700,2.2759563100,2.2856536100,2.2846838800,2413807,56816674.0000,2,0.603452,1,0.042446,0
2000-06-27,sh.600000,1999-11-10,浦发银行,2.2885628000,2.2953509100,2.2672287400,2.2711076600,2.2856536100,2771123,64999890.0000,2,0.692781,1,-0.636401,0
2000-06-28,sh.600000,1999-11-10,浦发银行,2.2720773900,2.2982601000,2.2643195500,2.2701379300,2.2711076600,2431564,56986819.0000,2,0.607891,1,-0.042700,0
2000-06-29,sh.600000,1999-11-10,浦发银行,2.2740168500,2.2885628000,2.2526827900,2.2594709000,2.2701379300,3482860,81188427.0000,2,0.870715,1,-0.469887,0
2000-06-30,sh.600000,1999-11-10,浦发银行,2.2594709000,2.2982601000,2.2546222500,2.2837141500,2.2594709000,2271340,53155958.0000,2,0.567835,1,1.072961,0
2000-07-03,sh.600000,1999-11-10,浦发银行,2.2788655000,2.2788655000,2.2497736000,2.2526827900,2.2837141500,2027515,47119215.0000,2,0.506879,1,-1.358810,0
