code,rps,gains
sz.000625,97.07680042519267,65.50458715596329
sh.600486,97.0502258836035,65.39800251203559
sz.002472,97.02365134201435,65.0735294117647
sh.601717,96.99707680042519,65.02242152466366
sh.600110,96.97050225883604,64.54720616570324
sh.688202,96.94392771724688,63.61247947454844
sh.603337,96.91735317565772,62.493934983017965
sh.603127,96.89077863406857,62.48444628784736
sh.600166,96.8642040924794,62.38095238095238
sh.603599,96.83762955089024,62.35955056179774
sh.688099,96.8110550093011,62.33859397417504
sz.300347,96.78448046771193,61.71083051751736
sz.000923,96.75790592612277,61.60477453580903
sz.300001,96.73133138453362,61.442904921165784
sh.601166,96.70475684294446,61.201501877346686
sz.300593,96.67818230135529,61.11680327868852
sz.002304,96.65160775976615,60.62199862794421
sz.002179,96.625033218177,60.524073285044736
sz.000902,96.59845867658782,60.350584307178636
sz.300415,96.57188413499867,59.54128440366973
sh.603806,96.54530959340951,59.46364904665943
sz.300316,96.51873505182036,59.209486166007906
sh.601888,96.4921605102312,58.961788692385234
sz.002812,96.46558596864205,58.783132530120476
sz.000786,96.43901142705288,58.769716088328074
sh.600563,96.41243688546372,58.69056897895556
sh.600690,96.38586234387458,58.27067669172932
sh.601021,96.35928780228541,57.275464124435516
sh.600238,96.33271326069625,57.25338491295939
sh.603198,96.3061387191071,57.136128120584075
sz.002884,96.27956417751794,56.69515669515669
sz.300725,96.25298963592877,56.60644409291482
sz.002352,96.22641509433963,56.19955979457079
sh.603801,96.19984055275046,56.01265822784809
sh.601233,96.1732660111613,55.64935064935064
sz.002353,96.14669146957215,55.60509554140128
sz.002415,96.12011692798299,55.43393275996874
sh.600989,96.09354238639384,55.366726296958866
sh.603129,96.06696784480468,55.316326530612244
sz.002920,96.04039330321552,55.11363636363635
sh.600408,96.01381876162635,54.34782608695651
sz.000157,95.9872442200372,54.226506504170025
sh.603259,95.96066967844806,54.03846153846153
sh.603583,95.93409513685889,53.89462629091545
sh.603010,95.90752059526973,53.80549682875264
sz.002372,95.88094605368057,53.53025936599421
